Here is the following output from running $jshint app.js, which is a singke file:
nodebb-plugin-anonymous-checkbox/static/lib/composer-anonymous.js: line 240, col 3, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/static/lib/composer-anonymous.js: line 241, col 3, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/static/lib/composer-anonymous.js: line 242, col 3, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/static/lib/composer-anonymous.js: line 282, col 3, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/static/lib/composer-anonymous.js: line 283, col 3, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/static/lib/composer-anonymous.js: line 284, col 3, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/static/lib/composer-anonymous.js: line 285, col 3, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/static/lib/composer-anonymous.js: line 7, col 3, 'document' is not defined.
nodebb-plugin-anonymous-checkbox/static/lib/composer-anonymous.js: line 237, col 3, 'document' is not defined.
nodebb-plugin-anonymous-checkbox/static/lib/composer-anonymous.js: line 293, col 3, 'document' is not defined.
nodebb-plugin-anonymous-checkbox/static/lib/composer-anonymous.js: line 41, col 28, 'setInterval' is not defined.
nodebb-plugin-anonymous-checkbox/static/lib/composer-anonymous.js: line 42, col 3, 'setTimeout' is not defined.
nodebb-plugin-anonymous-checkbox/static/lib/composer-anonymous.js: line 42, col 20, 'clearInterval' is not defined.
nodebb-plugin-anonymous-checkbox/static/lib/composer-anonymous.js: line 143, col 11, 'window' is not defined.
nodebb-plugin-anonymous-checkbox/static/lib/composer-anonymous.js: line 147, col 9, 'window' is not defined.
nodebb-plugin-anonymous-checkbox/static/lib/composer-anonymous.js: line 288, col 3, 'window' is not defined.

nodebb-plugin-anonymous-checkbox/static/lib/main.js: line 2, col 1, Use the function form of "use strict".
nodebb-plugin-anonymous-checkbox/static/lib/main.js: line 26, col 9, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/static/lib/main.js: line 27, col 39, 'rest operator' is only available in ES6 (use 'esversion: 6').
nodebb-plugin-anonymous-checkbox/static/lib/main.js: line 47, col 9, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/static/lib/main.js: line 48, col 9, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/static/lib/main.js: line 51, col 9, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/static/lib/main.js: line 65, col 13, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/static/lib/main.js: line 120, col 5, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/static/lib/main.js: line 120, col 21, 'template literal syntax' is only available in ES6 (use 'esversion: 6').
nodebb-plugin-anonymous-checkbox/static/lib/main.js: line 128, col 13, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/static/lib/main.js: line 145, col 9, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/static/lib/main.js: line 146, col 9, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/static/lib/main.js: line 263, col 5, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/static/lib/main.js: line 5, col 3, 'document' is not defined.
nodebb-plugin-anonymous-checkbox/static/lib/main.js: line 17, col 7, 'document' is not defined.
nodebb-plugin-anonymous-checkbox/static/lib/main.js: line 6, col 5, 'console' is not defined.
nodebb-plugin-anonymous-checkbox/static/lib/main.js: line 28, col 13, 'console' is not defined.
nodebb-plugin-anonymous-checkbox/static/lib/main.js: line 35, col 5, 'console' is not defined.
nodebb-plugin-anonymous-checkbox/static/lib/main.js: line 88, col 13, 'console' is not defined.
